id,Title,Desc,Type,BodyPart,Equipment,Level
51,Box Squat (Band),Box Squat exercise targeting strength and endurance,Endurance,Quads,Band,Advanced
52,Crunch,Crunch exercise targeting strength and endurance,Strength,Calves,Kettlebell,Advanced
53,Leg Press (Machine),Leg Press exercise targeting strength and endurance,Strength,Glutes,Machine,Intermediate
54,Incline Row (Machine),Incline Row exercise targeting strength and endurance,Balance,Chest,Machine,Advanced
55,Overhead Press,Overhead Press exercise targeting strength and endurance,Strength,Full Body,Barbell,Beginner
56,Good Morning (Bodyweight),Good Morning exercise targeting strength and endurance,Balance,Legs,Bodyweight,Beginner
57,Donkey Kick (Cable),Donkey Kick exercise targeting strength and endurance,Balance,Quads,Cable,Intermediate
58,Farmer's Carry (Dumbbell),Farmer's Carry exercise targeting strength and endurance,Balance,Back,Dumbbell,Beginner
59,Calf Raise (Kettlebell),Calf Raise exercise targeting strength and endurance,Cardio,Chest,Kettlebell,Beginner
60,Cable Row,Cable Row exercise targeting strength and endurance,Endurance,Arms,Bodyweight,Advanced
61,Bird Dog (Machine),Bird Dog exercise targeting strength and endurance,Cardio,Glutes,Machine,Intermediate
62,Bird Dog (Kettlebell),Bird Dog exercise targeting strength and endurance,Cardio,Hamstrings,Kettlebell,Beginner
63,Snatch (Machine),Snatch exercise targeting strength and endurance,Strength,Calves,Machine,Beginner
64,Russian Twist (Bodyweight),Russian Twist exercise targeting strength and endurance,Mobility,Arms,Bodyweight,Intermediate
65,Jump Rope (Machine),Jump Rope exercise targeting strength and endurance,Mobility,Arms,Machine,Beginner
66,Farmer's Carry,Farmer's Carry exercise targeting strength and endurance,Mobility,Glutes,None,Beginner
67,Good Morning (Band),Good Morning exercise targeting strength and endurance,Flexibility,Hamstrings,Band,Advanced
68,Sit-Up (TRX),Sit-Up exercise targeting strength and endurance,Power,Legs,TRX,Advanced
69,Wall Ball (Band),Wall Ball exercise targeting strength and endurance,Cardio,Shoulders,Band,Advanced
70,Good Morning (Machine),Good Morning exercise targeting strength and endurance,Strength,Back,Machine,Beginner
71,Leg Extension,Leg Extension exercise targeting strength and endurance,Strength,Quads,Cable,Intermediate
72,Squat (Kettlebell),Squat exercise targeting strength and endurance,Cardio,Legs,Kettlebell,Intermediate
73,Overhead Press (Machine),Overhead Press exercise targeting strength and endurance,Mobility,Calves,Machine,Advanced
74,Clean and Jerk,Clean and Jerk exercise targeting strength and endurance,Flexibility,Hamstrings,Dumbbell,Beginner
75,Sit-Up (Machine),Sit-Up exercise targeting strength and endurance,Endurance,Shoulders,Machine,Advanced
76,Pistol Squat (Machine),Pistol Squat exercise targeting strength and endurance,Cardio,Arms,Machine,Beginner
77,Turkish Get-Up (Dumbbell),Turkish Get-Up exercise targeting strength and endurance,Balance,Full Body,Dumbbell,Advanced
78,Shrugs (TRX),Shrugs exercise targeting strength and endurance,Cardio,Calves,TRX,Advanced
79,Hip Thrust (Band),Hip Thrust exercise targeting strength and endurance,Balance,Forearms,Band,Intermediate
80,Overhead Press (Bodyweight),Overhead Press exercise targeting strength and endurance,Cardio,Core,Bodyweight,Advanced
81,Burpee (TRX),Burpee exercise targeting strength and endurance,Flexibility,Calves,TRX,Intermediate
82,Lunge,Lunge exercise targeting strength and endurance,Balance,Core,Dumbbell,Beginner
83,Seated Row (Bodyweight),Seated Row exercise targeting strength and endurance,Strength,Hamstrings,Bodyweight,Intermediate
84,Superman (Dumbbell),Superman exercise targeting strength and endurance,Power,Calves,Dumbbell,Intermediate
85,Hip Thrust (Cable),Hip Thrust exercise targeting strength and endurance,Endurance,Chest,Cable,Intermediate
86,Leg Curl (Machine),Leg Curl exercise targeting strength and endurance,Flexibility,Forearms,Machine,Advanced
87,Superman (Band),Superman exercise targeting strength and endurance,Endurance,Chest,Band,Beginner
88,Box Squat (Kettlebell),Box Squat exercise targeting strength and endurance,Cardio,Chest,Kettlebell,Advanced
89,T-Bar Row (Machine),T-Bar Row exercise targeting strength and endurance,Flexibility,Chest,Machine,Beginner
90,Plank (TRX),Plank exercise targeting strength and endurance,Balance,Traps,TRX,Beginner
91,Farmer's Carry (TRX),Farmer's Carry exercise targeting strength and endurance,Endurance,Forearms,TRX,Intermediate
92,Plank Shoulder Tap (Bodyweight),Plank Shoulder Tap exercise targeting strength and endurance,Mobility,Shoulders,Bodyweight,Beginner
93,Plank (Cable),Plank exercise targeting strength and endurance,Cardio,Chest,Cable,Beginner
94,Glute Bridge (Cable),Glute Bridge exercise targeting strength and endurance,Endurance,Hamstrings,Cable,Intermediate
95,Toe Touch (Bodyweight),Toe Touch exercise targeting strength and endurance,Endurance,Glutes,Bodyweight,Intermediate
96,Farmer's Carry (Machine),Farmer's Carry exercise targeting strength and endurance,Mobility,Hamstrings,Machine,Intermediate
97,Calf Raise (Cable),Calf Raise exercise targeting strength and endurance,Power,Back,Cable,Beginner
98,Landmine Press (Kettlebell),Landmine Press exercise targeting strength and endurance,Strength,Back,Kettlebell,Advanced
99,Seated Row,Seated Row exercise targeting strength and endurance,Endurance,Legs,Cable,Beginner
100,Step-Up (Dumbbell),Step-Up exercise targeting strength and endurance,Balance,Full Body,Dumbbell,Advanced
101,Calf Raise (Machine),Calf Raise exercise targeting strength and endurance,Endurance,Chest,Machine,Beginner
102,Wall Ball (Kettlebell),Wall Ball exercise targeting strength and endurance,Balance,Hamstrings,Kettlebell,Advanced
103,Front Squat (Dumbbell),Front Squat exercise targeting strength and endurance,Cardio,Legs,Dumbbell,Advanced
104,Hip Thrust (TRX),Hip Thrust exercise targeting strength and endurance,Power,Calves,TRX,Intermediate
105,Bench Press (TRX),Bench Press exercise targeting strength and endurance,Power,Quads,TRX,Advanced
106,Turkish Get-Up (Bodyweight),Turkish Get-Up exercise targeting strength and endurance,Cardio,Glutes,Bodyweight,Beginner
107,Mountain Climber,Mountain Climber exercise targeting strength and endurance,Endurance,Glutes,Bodyweight,Beginner
108,Shoulder Press (TRX),Shoulder Press exercise targeting strength and endurance,Strength,Quads,TRX,Beginner
109,Mountain Climber (Machine),Mountain Climber exercise targeting strength and endurance,Strength,Traps,Machine,Intermediate
110,Step-Up,Step-Up exercise targeting strength and endurance,Balance,Traps,Barbell,Intermediate
111,Snatch (TRX),Snatch exercise targeting strength and endurance,Balance,Chest,TRX,Advanced
112,Farmer's Carry (Kettlebell),Farmer's Carry exercise targeting strength and endurance,Strength,Shoulders,Kettlebell,Intermediate
113,Burpee,Burpee exercise targeting strength and endurance,Flexibility,Full Body,Barbell,Advanced
114,Pull-Up (Band),Pull-Up exercise targeting strength and endurance,Strength,Traps,Band,Advanced
115,Wrist Curl,Wrist Curl exercise targeting strength and endurance,Endurance,Calves,Medicine Ball,Beginner
116,Plank (Kettlebell),Plank exercise targeting strength and endurance,Endurance,Shoulders,Kettlebell,Beginner
117,Leg Extension (Band),Leg Extension exercise targeting strength and endurance,Cardio,Quads,Band,Beginner
118,Split Squat,Split Squat exercise targeting strength and endurance,Power,Shoulders,Medicine Ball,Intermediate
119,Overhead Squat (Band),Overhead Squat exercise targeting strength and endurance,Balance,Core,Band,Intermediate
120,Leg Press (Dumbbell),Leg Press exercise targeting strength and endurance,Flexibility,Legs,Dumbbell,Advanced
121,Burpee (Kettlebell),Burpee exercise targeting strength and endurance,Endurance,Shoulders,Kettlebell,Intermediate
122,Wall Sit (Kettlebell),Wall Sit exercise targeting strength and endurance,Cardio,Back,Kettlebell,Advanced
123,Chest Fly (TRX),Chest Fly exercise targeting strength and endurance,Balance,Back,TRX,Intermediate
124,Superman (Cable),Superman exercise targeting strength and endurance,Power,Legs,Cable,Beginner
125,Box Jump (Machine),Box Jump exercise targeting strength and endurance,Endurance,Shoulders,Machine,Intermediate
126,Glute Bridge,Glute Bridge exercise targeting strength and endurance,Power,Full Body,Machine,Advanced
127,Shrugs (Bodyweight),Shrugs exercise targeting strength and endurance,Mobility,Shoulders,Bodyweight,Beginner
128,Incline Row (Bodyweight),Incline Row exercise targeting strength and endurance,Strength,Chest,Bodyweight,Advanced
129,Bicep Curl (Band),Bicep Curl exercise targeting strength and endurance,Endurance,Legs,Band,Beginner
130,Pull-Up (Cable),Pull-Up exercise targeting strength and endurance,Balance,Quads,Cable,Beginner
131,Good Morning (TRX),Good Morning exercise targeting strength and endurance,Mobility,Glutes,TRX,Beginner
132,Clean and Jerk (Band),Clean and Jerk exercise targeting strength and endurance,Flexibility,Shoulders,Band,Advanced
133,Donkey Kick (Band),Donkey Kick exercise targeting strength and endurance,Strength,Glutes,Band,Intermediate
134,Deadlift (Machine),Deadlift exercise targeting strength and endurance,Endurance,Calves,Machine,Advanced
135,Russian Twist,Russian Twist exercise targeting strength and endurance,Endurance,Core,Resistance Band,Advanced
136,Plank Shoulder Tap (Kettlebell),Plank Shoulder Tap exercise targeting strength and endurance,Endurance,Shoulders,Kettlebell,Intermediate
137,Wrist Curl (Band),Wrist Curl exercise targeting strength and endurance,Endurance,Legs,Band,Intermediate
138,Wall Sit (Band),Wall Sit exercise targeting strength and endurance,Strength,Chest,Band,Beginner
139,Pull-Up (TRX),Pull-Up exercise targeting strength and endurance,Power,Calves,TRX,Beginner
140,Toe Touch (Kettlebell),Toe Touch exercise targeting strength and endurance,Cardio,Arms,Kettlebell,Advanced
141,Shrugs (Kettlebell),Shrugs exercise targeting strength and endurance,Power,Shoulders,Kettlebell,Advanced
142,Kettlebell Swing (TRX),Kettlebell Swing exercise targeting strength and endurance,Strength,Arms,TRX,Advanced
143,Leg Curl (Bodyweight),Leg Curl exercise targeting strength and endurance,Flexibility,Quads,Bodyweight,Advanced
144,Sit-Up (Bodyweight),Sit-Up exercise targeting strength and endurance,Endurance,Hamstrings,Bodyweight,Beginner
145,Toe Touch (Cable),Toe Touch exercise targeting strength and endurance,Strength,Traps,Cable,Advanced
146,Overhead Squat (Machine),Overhead Squat exercise targeting strength and endurance,Balance,Calves,Machine,Beginner
147,Kettlebell Swing,Kettlebell Swing exercise targeting strength and endurance,Flexibility,Chest,Machine,Beginner
148,Wall Sit (TRX),Wall Sit exercise targeting strength and endurance,Power,Back,TRX,Advanced
149,Hammer Curl,Hammer Curl exercise targeting strength and endurance,Endurance,Calves,Bodyweight,Advanced
150,Crunch (Bodyweight),Crunch exercise targeting strength and endurance,Strength,Core,Bodyweight,Intermediate
151,Hip Thrust (Machine),Hip Thrust exercise targeting strength and endurance,Balance,Full Body,Machine,Beginner
152,Wrist Curl (Dumbbell),Wrist Curl exercise targeting strength and endurance,Cardio,Quads,Dumbbell,Advanced
153,Deadlift (Band),Deadlift exercise targeting strength and endurance,Cardio,Arms,Band,Beginner
154,Split Squat (Cable),Split Squat exercise targeting strength and endurance,Flexibility,Shoulders,Cable,Advanced
155,Plank Shoulder Tap,Plank Shoulder Tap exercise targeting strength and endurance,Balance,Quads,Kettlebell,Intermediate
156,Glute Bridge (Band),Glute Bridge exercise targeting strength and endurance,Strength,Forearms,Band,Beginner
157,Shoulder Press (Machine),Shoulder Press exercise targeting strength and endurance,Strength,Legs,Machine,Intermediate
158,Reverse Lunge (Band),Reverse Lunge exercise targeting strength and endurance,Power,Chest,Band,Advanced
159,Squat (Cable),Squat exercise targeting strength and endurance,Mobility,Hamstrings,Cable,Advanced
160,Kettlebell Swing (Cable),Kettlebell Swing exercise targeting strength and endurance,Cardio,Arms,Cable,Advanced
161,Overhead Squat (Cable),Overhead Squat exercise targeting strength and endurance,Endurance,Quads,Cable,Beginner
162,Overhead Squat,Overhead Squat exercise targeting strength and endurance,Power,Hamstrings,TRX,Intermediate
163,Lunge (Machine),Lunge exercise targeting strength and endurance,Endurance,Core,Machine,Beginner
164,Shoulder Press (Dumbbell),Shoulder Press exercise targeting strength and endurance,Strength,Core,Dumbbell,Beginner
165,Leg Extension (Kettlebell),Leg Extension exercise targeting strength and endurance,Balance,Glutes,Kettlebell,Advanced
166,Good Morning,Good Morning exercise targeting strength and endurance,Strength,Traps,None,Advanced
167,Glute Bridge (TRX),Glute Bridge exercise targeting strength and endurance,Strength,Calves,TRX,Advanced
168,Wrist Curl (TRX),Wrist Curl exercise targeting strength and endurance,Mobility,Chest,TRX,Intermediate
169,Snatch (Dumbbell),Snatch exercise targeting strength and endurance,Flexibility,Arms,Dumbbell,Intermediate
170,Pistol Squat,Pistol Squat exercise targeting strength and endurance,Power,Glutes,Barbell,Beginner
171,Overhead Squat (TRX),Overhead Squat exercise targeting strength and endurance,Mobility,Shoulders,TRX,Beginner
172,Side Plank (Band),Side Plank exercise targeting strength and endurance,Flexibility,Glutes,Band,Beginner
173,Side Plank (Cable),Side Plank exercise targeting strength and endurance,Power,Quads,Cable,Beginner
174,Front Squat (Bodyweight),Front Squat exercise targeting strength and endurance,Power,Glutes,Bodyweight,Intermediate
175,Pistol Squat (Dumbbell),Pistol Squat exercise targeting strength and endurance,Cardio,Calves,Dumbbell,Beginner
176,Pistol Squat (TRX),Pistol Squat exercise targeting strength and endurance,Mobility,Traps,TRX,Advanced
177,Bench Press (Band),Bench Press exercise targeting strength and endurance,Flexibility,Full Body,Band,Intermediate
178,Clean and Jerk (TRX),Clean and Jerk exercise targeting strength and endurance,Power,Calves,TRX,Advanced
179,Toe Touch,Toe Touch exercise targeting strength and endurance,Balance,Legs,Machine,Beginner
180,Incline Row (Dumbbell),Incline Row exercise targeting strength and endurance,Strength,Back,Dumbbell,Beginner
181,Jump Squat (TRX),Jump Squat exercise targeting strength and endurance,Mobility,Glutes,TRX,Intermediate
182,Shoulder Press (Bodyweight),Shoulder Press exercise targeting strength and endurance,Balance,Calves,Bodyweight,Advanced
183,Squat,Squat exercise targeting strength and endurance,Mobility,Forearms,TRX,Beginner
184,Shoulder Press (Cable),Shoulder Press exercise targeting strength and endurance,Balance,Hamstrings,Cable,Advanced
185,Russian Twist (TRX),Russian Twist exercise targeting strength and endurance,Mobility,Arms,TRX,Beginner
186,Box Squat (Dumbbell),Box Squat exercise targeting strength and endurance,Power,Shoulders,Dumbbell,Beginner
187,Crunch (TRX),Crunch exercise targeting strength and endurance,Cardio,Shoulders,TRX,Advanced
188,High Knees (Machine),High Knees exercise targeting strength and endurance,Flexibility,Hamstrings,Machine,Beginner
189,Bicep Curl (Cable),Bicep Curl exercise targeting strength and endurance,Flexibility,Glutes,Cable,Advanced
190,T-Bar Row (Bodyweight),T-Bar Row exercise targeting strength and endurance,Balance,Calves,Bodyweight,Advanced
191,Chest Fly (Machine),Chest Fly exercise targeting strength and endurance,Mobility,Core,Machine,Advanced
192,Bicep Curl (Machine),Bicep Curl exercise targeting strength and endurance,Power,Back,Machine,Intermediate
193,Hammer Curl (Machine),Hammer Curl exercise targeting strength and endurance,Power,Core,Machine,Intermediate
194,Shrugs,Shrugs exercise targeting strength and endurance,Mobility,Full Body,Dumbbell,Beginner
195,Chest Fly (Cable),Chest Fly exercise targeting strength and endurance,Cardio,Chest,Cable,Beginner
196,Lat Pulldown (Machine),Lat Pulldown exercise targeting strength and endurance,Balance,Quads,Machine,Advanced
197,Plank (Band),Plank exercise targeting strength and endurance,Balance,Glutes,Band,Beginner
198,T-Bar Row,T-Bar Row exercise targeting strength and endurance,Endurance,Forearms,Resistance Band,Advanced
199,Farmer's Carry (Bodyweight),Farmer's Carry exercise targeting strength and endurance,Power,Hamstrings,Bodyweight,Advanced
200,Leg Curl (Band),Leg Curl exercise targeting strength and endurance,Cardio,Full Body,Band,Advanced
201,Clean and Jerk (Cable),Clean and Jerk exercise targeting strength and endurance,Strength,Glutes,Cable,Beginner
202,Chest Fly (Band),Chest Fly exercise targeting strength and endurance,Mobility,Forearms,Band,Intermediate
203,Split Squat (TRX),Split Squat exercise targeting strength and endurance,Endurance,Forearms,TRX,Intermediate
204,Front Squat (TRX),Front Squat exercise targeting strength and endurance,Flexibility,Forearms,TRX,Beginner
205,Farmer's Carry (Cable),Farmer's Carry exercise targeting strength and endurance,Flexibility,Arms,Cable,Intermediate
206,Leg Extension (Dumbbell),Leg Extension exercise targeting strength and endurance,Balance,Hamstrings,Dumbbell,Intermediate
207,Overhead Press (Cable),Overhead Press exercise targeting strength and endurance,Power,Forearms,Cable,Intermediate
208,Jump Rope (Kettlebell),Jump Rope exercise targeting strength and endurance,Strength,Chest,Kettlebell,Advanced
209,Deadlift,Deadlift exercise targeting strength and endurance,Endurance,Arms,Dumbbell,Beginner
210,Deadlift (Cable),Deadlift exercise targeting strength and endurance,Mobility,Forearms,Cable,Beginner
211,Front Squat (Cable),Front Squat exercise targeting strength and endurance,Endurance,Hamstrings,Cable,Intermediate
212,Overhead Press (TRX),Overhead Press exercise targeting strength and endurance,Mobility,Hamstrings,TRX,Beginner
213,Pull-Up,Pull-Up exercise targeting strength and endurance,Balance,Hamstrings,Machine,Advanced
214,Crunch (Dumbbell),Crunch exercise targeting strength and endurance,Power,Chest,Dumbbell,Advanced
215,Burpee (Bodyweight),Burpee exercise targeting strength and endurance,Endurance,Chest,Bodyweight,Advanced
216,Pull-Up (Dumbbell),Pull-Up exercise targeting strength and endurance,Mobility,Full Body,Dumbbell,Advanced
217,Tricep Dip (Machine),Tricep Dip exercise targeting strength and endurance,Power,Calves,Machine,Intermediate
218,Squat (TRX),Squat exercise targeting strength and endurance,Power,Forearms,TRX,Beginner
219,Jump Rope,Jump Rope exercise targeting strength and endurance,Power,Quads,Barbell,Beginner
220,Step-Up (Kettlebell),Step-Up exercise targeting strength and endurance,Flexibility,Arms,Kettlebell,Advanced
221,Sit-Up (Cable),Sit-Up exercise targeting strength and endurance,Endurance,Calves,Cable,Advanced
222,Wall Sit,Wall Sit exercise targeting strength and endurance,Mobility,Chest,Barbell,Advanced
223,Hip Thrust (Kettlebell),Hip Thrust exercise targeting strength and endurance,Flexibility,Shoulders,Kettlebell,Intermediate
224,Step-Up (TRX),Step-Up exercise targeting strength and endurance,Power,Core,TRX,Intermediate
225,Sit-Up (Kettlebell),Sit-Up exercise targeting strength and endurance,Endurance,Full Body,Kettlebell,Intermediate
226,Mountain Climber (Kettlebell),Mountain Climber exercise targeting strength and endurance,Cardio,Back,Kettlebell,Advanced
227,Cable Row (Band),Cable Row exercise targeting strength and endurance,Endurance,Glutes,Band,Intermediate
228,Lunge (Band),Lunge exercise targeting strength and endurance,Flexibility,Calves,Band,Beginner
229,Crunch (Cable),Crunch exercise targeting strength and endurance,Cardio,Calves,Cable,Beginner
230,Burpee (Machine),Burpee exercise targeting strength and endurance,Mobility,Forearms,Machine,Intermediate
231,Cable Row (Kettlebell),Cable Row exercise targeting strength and endurance,Endurance,Glutes,Kettlebell,Advanced
232,Front Squat,Front Squat exercise targeting strength and endurance,Balance,Glutes,Kettlebell,Intermediate
233,Tricep Dip (Kettlebell),Tricep Dip exercise targeting strength and endurance,Endurance,Calves,Kettlebell,Advanced
234,Toe Touch (Machine),Toe Touch exercise targeting strength and endurance,Power,Legs,Machine,Advanced
235,Plank (Machine),Plank exercise targeting strength and endurance,Mobility,Arms,Machine,Advanced
236,Chest Fly,Chest Fly exercise targeting strength and endurance,Balance,Full Body,Bodyweight,Advanced
237,Leg Extension (Bodyweight),Leg Extension exercise targeting strength and endurance,Mobility,Legs,Bodyweight,Beginner
238,Pistol Squat (Cable),Pistol Squat exercise targeting strength and endurance,Power,Traps,Cable,Beginner
239,Russian Twist (Cable),Russian Twist exercise targeting strength and endurance,Cardio,Arms,Cable,Beginner
240,Plank Shoulder Tap (TRX),Plank Shoulder Tap exercise targeting strength and endurance,Balance,Traps,TRX,Intermediate
241,Lat Pulldown (Bodyweight),Lat Pulldown exercise targeting strength and endurance,Power,Forearms,Bodyweight,Beginner
242,Reverse Lunge (Bodyweight),Reverse Lunge exercise targeting strength and endurance,Cardio,Traps,Bodyweight,Intermediate
243,Landmine Press,Landmine Press exercise targeting strength and endurance,Strength,Chest,Cable,Beginner
244,Bench Press (Bodyweight),Bench Press exercise targeting strength and endurance,Balance,Full Body,Bodyweight,Intermediate
245,Kettlebell Swing (Machine),Kettlebell Swing exercise targeting strength and endurance,Power,Hamstrings,Machine,Advanced
246,Split Squat (Dumbbell),Split Squat exercise targeting strength and endurance,Flexibility,Chest,Dumbbell,Intermediate
247,Toe Touch (Dumbbell),Toe Touch exercise targeting strength and endurance,Flexibility,Legs,Dumbbell,Advanced
248,Superman (Bodyweight),Superman exercise targeting strength and endurance,Mobility,Core,Bodyweight,Beginner
249,Russian Twist (Kettlebell),Russian Twist exercise targeting strength and endurance,Cardio,Core,Kettlebell,Beginner
250,Snatch (Bodyweight),Snatch exercise targeting strength and endurance,Strength,Shoulders,Bodyweight,Beginner
251,Box Jump (Cable),Box Jump exercise targeting strength and endurance,Balance,Core,Cable,Advanced
252,Seated Row (Band),Seated Row exercise targeting strength and endurance,Balance,Shoulders,Band,Intermediate
253,Cable Row (Bodyweight),Cable Row exercise targeting strength and endurance,Cardio,Chest,Bodyweight,Advanced
254,Hammer Curl (TRX),Hammer Curl exercise targeting strength and endurance,Endurance,Quads,TRX,Advanced
255,Clean and Jerk (Machine),Clean and Jerk exercise targeting strength and endurance,Cardio,Arms,Machine,Beginner
256,Bench Press (Cable),Bench Press exercise targeting strength and endurance,Endurance,Hamstrings,Cable,Intermediate
257,Push-Up (TRX),Push-Up exercise targeting strength and endurance,Power,Legs,TRX,Advanced
258,High Knees (Cable),High Knees exercise targeting strength and endurance,Flexibility,Chest,Cable,Advanced
259,Jump Rope (Bodyweight),Jump Rope exercise targeting strength and endurance,Flexibility,Glutes,Bodyweight,Intermediate
260,Box Jump (Kettlebell),Box Jump exercise targeting strength and endurance,Cardio,Legs,Kettlebell,Intermediate
261,Lunge (TRX),Lunge exercise targeting strength and endurance,Flexibility,Core,TRX,Intermediate
262,Squat (Dumbbell),Squat exercise targeting strength and endurance,Cardio,Shoulders,Dumbbell,Intermediate
263,Incline Row (Kettlebell),Incline Row exercise targeting strength and endurance,Strength,Arms,Kettlebell,Intermediate
264,Bench Press (Machine),Bench Press exercise targeting strength and endurance,Mobility,Legs,Machine,Intermediate
265,Donkey Kick (Bodyweight),Donkey Kick exercise targeting strength and endurance,Cardio,Shoulders,Bodyweight,Beginner
266,Tricep Dip (Dumbbell),Tricep Dip exercise targeting strength and endurance,Balance,Quads,Dumbbell,Advanced
267,Bicep Curl,Bicep Curl exercise targeting strength and endurance,Balance,Full Body,Barbell,Intermediate
268,Lunge (Bodyweight),Lunge exercise targeting strength and endurance,Cardio,Full Body,Bodyweight,Beginner
269,Good Morning (Kettlebell),Good Morning exercise targeting strength and endurance,Mobility,Glutes,Kettlebell,Intermediate
270,Tricep Dip (Band),Tricep Dip exercise targeting strength and endurance,Strength,Hamstrings,Band,Advanced
